5 21 23:50:16 2021] tgid,2146, delta_vrun,83015, delta_rrun,83015, prio,120
5 21 23:50:17 2021] tgid,1191, delta_vrun,141269, delta_rrun,141269, prio,120
5 21 23:50:18 2021] tgid,351, delta_vrun,1044, delta_rrun,90538, prio,100
5 21 23:50:18 2021] tgid,822, delta_vrun,244896, delta_rrun,244896, prio,120
5 21 23:50:19 2021] tgid,2186, delta_vrun,12797, delta_rrun,12797, prio,120
5 21 23:50:19 2021] tgid,11, delta_vrun,0, delta_rrun,30388, prio,0
5 21 23:50:19 2021] tgid,20, delta_vrun,558, delta_rrun,284452, prio,0
5 21 23:50:19 2021] tgid,15, delta_vrun,0, delta_rrun,29311, prio,0
5 21 23:50:19 2021] tgid,25, delta_vrun,508, delta_rrun,22239, prio,0
5 21 23:50:19 2021] tgid,1191, delta_vrun,123629, delta_rrun,527489, prio,120
5 21 23:50:19 2021] tgid,234, delta_vrun,444, delta_rrun,38527, prio,100
5 21 23:50:19 2021] tgid,351, delta_vrun,491, delta_rrun,42622, prio,100
5 21 23:50:19 2021] tgid,234, delta_vrun,129, delta_rrun,229730, prio,100
5 21 23:50:19 2021] tgid,351, delta_vrun,220, delta_rrun,19094, prio,100
5 21 23:50:20 2021] tgid,234, delta_vrun,83, delta_rrun,8874, prio,100
5 21 23:50:20 2021] tgid,2146, delta_vrun,110265, delta_rrun,110265, prio,120
5 21 23:50:20 2021] tgid,2231, delta_vrun,12139, delta_rrun,12139, prio,120
5 21 23:50:22 2021] tgid,2231, delta_vrun,26353, delta_rrun,26353, prio,120
5 21 23:50:22 2021] tgid,1378, delta_vrun,13403, delta_rrun,48951, prio,0
5 21 23:50:22 2021] tgid,1191, delta_vrun,70281, delta_rrun,70281, prio,120
5 21 23:50:22 2021] tgid,822, delta_vrun,247953, delta_rrun,247953, prio,120
5 21 23:50:22 2021] tgid,1191, delta_vrun,55909, delta_rrun,55909, prio,120
5 21 23:50:23 2021] tgid,11, delta_vrun,0, delta_rrun,18924, prio,0
5 21 23:50:23 2021] tgid,15, delta_vrun,0, delta_rrun,50347, prio,0
5 21 23:50:23 2021] tgid,20, delta_vrun,558, delta_rrun,17344, prio,0
5 21 23:50:23 2021] tgid,25, delta_vrun,508, delta_rrun,106970, prio,0
5 21 23:50:24 2021] tgid,351, delta_vrun,1012, delta_rrun,87753, prio,100
5 21 23:50:24 2021] tgid,2146, delta_vrun,120634, delta_rrun,120634, prio,120
5 21 23:50:24 2021] tgid,234, delta_vrun,477, delta_rrun,41379, prio,100
5 21 23:50:24 2021] tgid,351, delta_vrun,1035, delta_rrun,89759, prio,100
5 21 23:50:24 2021] tgid,234, delta_vrun,1160, delta_rrun,104156, prio,100
5 21 23:50:24 2021] tgid,351, delta_vrun,153, delta_rrun,13277, prio,100
5 21 23:50:25 2021] tgid,1191, delta_vrun,64203, delta_rrun,69545, prio,120
5 21 23:50:26 2021] tgid,351, delta_vrun,192, delta_rrun,16714, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,727, delta_rrun,63020, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,193, delta_rrun,16787, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,195, delta_rrun,16938, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,790, delta_rrun,68548, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,173, delta_rrun,15048, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,159, delta_rrun,13833, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,151, delta_rrun,13122, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,136, delta_rrun,11813, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,147, delta_rrun,12781, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,225, delta_rrun,19519, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,191, delta_rrun,16632, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,171, delta_rrun,14853, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,145, delta_rrun,12617, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,149, delta_rrun,12916, prio,100
5 21 23:50:26 2021] tgid,351, delta_vrun,166, delta_rrun,14472, prio,100
5 21 23:50:26 2021] tgid,822, delta_vrun,78253, delta_rrun,78253, prio,120
5 21 23:50:27 2021] tgid,11, delta_vrun,0, delta_rrun,19048, prio,0
5 21 23:50:27 2021] tgid,15, delta_vrun,0, delta_rrun,76048, prio,0
5 21 23:50:27 2021] tgid,20, delta_vrun,558, delta_rrun,25108, prio,0
5 21 23:50:27 2021] tgid,25, delta_vrun,508, delta_rrun,42560, prio,0
5 21 23:50:27 2021] tgid,1191, delta_vrun,65867, delta_rrun,72054, prio,120
5 21 23:50:28 2021] tgid,2146, delta_vrun,70127, delta_rrun,70127, prio,120
5 21 23:50:28 2021] tgid,1191, delta_vrun,75866, delta_rrun,75866, prio,120
5 21 23:50:30 2021] tgid,1378, delta_vrun,13403, delta_rrun,47571, prio,0
5 21 23:50:30 2021] tgid,234, delta_vrun,197, delta_rrun,17161, prio,100
5 21 23:50:30 2021] tgid,351, delta_vrun,1075, delta_rrun,93263, prio,100
5 21 23:50:30 2021] tgid,234, delta_vrun,810, delta_rrun,73823, prio,100
5 21 23:50:30 2021] tgid,351, delta_vrun,219, delta_rrun,18998, prio,100
5 21 23:50:30 2021] tgid,351, delta_vrun,140, delta_rrun,12142, prio,100
5 21 23:50:30 2021] tgid,234, delta_vrun,130, delta_rrun,11287, prio,100
5 21 23:50:30 2021] tgid,822, delta_vrun,131292, delta_rrun,131292, prio,120
5 21 23:50:31 2021] tgid,11, delta_vrun,0, delta_rrun,18438, prio,0
5 21 23:50:31 2021] tgid,15, delta_vrun,0, delta_rrun,26462, prio,0
5 21 23:50:31 2021] tgid,20, delta_vrun,558, delta_rrun,20201, prio,0
5 21 23:50:31 2021] tgid,25, delta_vrun,508, delta_rrun,15753, prio,0
5 21 23:50:31 2021] tgid,1191, delta_vrun,78351, delta_rrun,78351, prio,120
5 21 23:50:32 2021] tgid,2146, delta_vrun,160277, delta_rrun,659897, prio,120
5 21 23:50:32 2021] tgid,1191, delta_vrun,53074, delta_rrun,53074, prio,120
5 21 23:50:34 2021] tgid,822, delta_vrun,72224, delta_rrun,72224, prio,120
5 21 23:50:34 2021] tgid,1191, delta_vrun,117140, delta_rrun,117140, prio,120
5 21 23:50:35 2021] tgid,234, delta_vrun,470, delta_rrun,40782, prio,100
5 21 23:50:35 2021] tgid,351, delta_vrun,1725, delta_rrun,149595, prio,100
5 21 23:50:35 2021] tgid,234, delta_vrun,996, delta_rrun,86366, prio,100
5 21 23:50:35 2021] tgid,351, delta_vrun,176, delta_rrun,15341, prio,100
5 21 23:50:35 2021] tgid,2231, delta_vrun,123361, delta_rrun,123361, prio,120
5 21 23:50:35 2021] tgid,11, delta_vrun,0, delta_rrun,29425, prio,0
5 21 23:50:35 2021] tgid,15, delta_vrun,0, delta_rrun,63914, prio,0
5 21 23:50:35 2021] tgid,25, delta_vrun,508, delta_rrun,28731, prio,0
5 21 23:50:35 2021] tgid,20, delta_vrun,558, delta_rrun,140504, prio,0
5 21 23:50:36 2021] tgid,351, delta_vrun,957, delta_rrun,83016, prio,100
5 21 23:50:36 2021] tgid,2231, delta_vrun,10731, delta_rrun,10731, prio,120
5 21 23:50:36 2021] tgid,2146, delta_vrun,93871, delta_rrun,93871, prio,120
5 21 23:50:36 2021] tgid,2231, delta_vrun,31242, delta_rrun,53438, prio,120
5 21 23:50:36 2021] tgid,351, delta_vrun,595, delta_rrun,51620, prio,100
5 21 23:50:37 2021] tgid,1378, delta_vrun,13403, delta_rrun,41725, prio,0
5 21 23:50:37 2021] tgid,2231, delta_vrun,12208, delta_rrun,12208, prio,120
5 21 23:50:37 2021] tgid,1191, delta_vrun,59994, delta_rrun,59994, prio,120
5 21 23:50:37 2021] tgid,1191, delta_vrun,115240, delta_rrun,115240, prio,120
5 21 23:50:38 2021] tgid,822, delta_vrun,79935, delta_rrun,79935, prio,120
5 21 23:50:38 2021] tgid,2186, delta_vrun,14023, delta_rrun,14023, prio,120
5 21 23:50:39 2021] tgid,11, delta_vrun,0, delta_rrun,12956, prio,0
5 21 23:50:39 2021] tgid,20, delta_vrun,558, delta_rrun,68929, prio,0
